股票代码,股票名称,东财行业,申万一级,申万二级,申万三级,概念标签,数据日期
000001,平安银行,银行Ⅱ,银行,银行Ⅱ,股份制银行Ⅲ,HS300_、MSCI中国、互联网金融、价值股、低市净率、区块链、大盘价值、大盘股、富时罗素、广东板块、机构重仓、标准普尔、深圳特区、深成500、深股通、深证100R、破净股、股份制银行Ⅲ、融资融券、跨境支付、金融地产风格、银行、银行Ⅱ、长期破净,2026-09-18
000002,万  科Ａ,房地产开发,房地产,房地产开发,住宅开发,AH股、HS300_、MSCI中国、REITs概念、中盘价值、中盘股、低市净率、住宅开发、养老概念、央视50_、富时罗素、广东板块、房地产、房地产开发、智能家居、标准普尔、深圳特区、深成500、深股通、深证100R、破净股、租售同权、融资融券、装配建筑、超级品牌、超跌股、金融地产风格、长期破净,2026-09-18
000003,PT金田A,,房地产,房地产服务,房地产服务,,2026-09-18
000004,国华退,,信息技术,计算机软件,其他软件服务,,2026-09-18
000005,ST星源,,公用事业,环保,环保,,2026-09-18
000006,深振业Ａ,房地产开发,房地产,房地产开发,住宅开发,住宅开发、央国企改革、小盘成长、小盘股、广东板块、房地产、房地产开发、标准普尔、深圳特区、深股通、粤港自贸、融资融券,2026-09-18
000007,全新好,一般零售,商贸零售,一般零售,商业物业经营,2026中报首亏、QFII重仓、一般零售、商业物业经营、商贸零售、广东板块、深圳特区、高市净率,2026-09-18
000008,神州高铁,轨交设备Ⅱ,机械设备,轨交设备Ⅱ,轨交设备Ⅲ,一带一路、交运设备、低价股、北京板块、央国企改革、富时罗素、机构重仓、机械设备、标准普尔、深股通、职业教育、融资融券、轨交设备Ⅱ、轨交设备Ⅲ、铁路基建,2026-09-18
000009,中国宝安,综合Ⅱ,综合,综合Ⅱ,综合Ⅲ,2026中报首亏、中证500、储能概念、充电桩、先进制造风格、军工、创投、北交所概念、华为概念、固态电池、土地流转、富时罗素、小盘成长、小盘股、广东板块、新能源、标准普尔、氢能源、深圳特区、深成500、深股通、电池技术、综合、综合Ⅱ、综合Ⅲ、融资融券、超级电容、锂电池概念、高压快充、黄金概念,2026-09-18
000010,*ST美丽,基础建设,建筑装饰,基础建设,园林工程,PPP模式、QFII重仓、ST股、低价股、参股期货、园林工程、基础建设、工程建设、广东板块、建筑装饰、新型城镇化、深圳特区、破增发价股、股权分散、超跌股,2026-09-18
000011,深物业A,房地产开发,房地产,房地产开发,住宅开发,2026中报首亏、AB股、住宅开发、央国企改革、富时罗素、广东板块、房地产、房地产开发、昨日高振幅、深圳特区、深股通、租售同权、粤港自贸,2026-09-18
000012,南  玻Ａ,玻璃玻纤,建筑材料,玻璃玻纤,玻璃制造,2026中报首亏、AB股、一带一路、光伏概念、军工、反内卷概念、富时罗素、小盘股、广东板块、建筑材料、建筑节能、新能源、机构重仓、标准普尔、深圳特区、深股通、特斯拉概念、玻璃制造、玻璃玻纤、破净股、粤港自贸、融资融券、雄安新区,2026-09-18
000013,*ST石化A,,基础化工,化学制品,其他化学制品,,2026-09-18
000014,沙河股份,房地产开发,房地产,房地产开发,住宅开发,住宅开发、央国企改革、广东板块、微盘股、房地产、房地产开发、机构重仓、深圳特区、粤港自贸,2026-09-18
000015,PT中浩A,,综合,综合,综合,,2026-09-18
000016,*ST康佳A,白色家电,家用电器,白色家电,冰洗,AB股、IPv6、MicroLED、MiniLED、PCB、PPP模式、ST股、低价股、冰洗、创投、半导体概念、华为海思、国产芯片、央国企改革、存储芯片、家用电器、富时罗素、广东板块、智能家居、机构重仓、标准普尔、氮化镓、深圳特区、白色家电、第三代半导体、超清视频、超跌股、长期破净,2026-09-18
000017,深中华A,饰品,纺织服饰,饰品,钟表珠宝,AB股、广东板块、新零售、机构重仓、深圳特区、纺织服饰、钟表珠宝、饰品、黄金概念,2026-09-18
000018,神城A退,,建筑,装修装饰,装修装饰,,2026-09-18
000019,深粮控股,农产品加工,农林牧渔,农产品加工,粮油加工,AB股、内贸流通、农产品加工、农林牧渔、央国企改革、广东板块、标准普尔、深圳特区、深股通、破增发价股、粮油加工、粮食概念、调味品概念、预制菜概念,2026-09-18
000020,深华发Ａ,光学光电子,电子,光学光电子,面板,AB股、光学光电子、广东板块、机构重仓、深圳特区、电子、面板,2026-09-18
000021,深科技,消费电子,电子,消费电子,消费电子零部件及组装,MSCI中国、中盘成长、中盘股、中证500、储能概念、先进封装、区块链、医疗器械概念、半导体概念、国产芯片、央国企改革、存储芯片、富时罗素、广东板块、新能源车、无人机、智能电网、机构重仓、标准普尔、消费电子、消费电子零部件及组装、深圳特区、深成500、深股通、物联网、电子、电网概念、第三代半导体、融资融券、超级电容,2026-09-18
000023,*ST深天,,建材,其他建材,其他建材,,2026-09-18
000024,招商地产,,房地产,房地产开发,房地产开发,,2026-09-18
000025,特  力Ａ,综合Ⅱ,综合,综合Ⅱ,综合Ⅲ,AB股、内贸流通、央国企改革、富时罗素、广东板块、标准普尔、深圳特区、深股通、综合、综合Ⅱ、综合Ⅲ、融资融券、黄金概念,2026-09-18
000026,飞亚达,饰品,纺织服饰,饰品,钟表珠宝,AB股、内贸流通、减速器、商业航天、央国企改革、广东板块、智能穿戴、消费电子概念、深圳特区、深股通、电商概念、纺织服饰、钟表珠宝、饰品,2026-09-18
000027,深圳能源,电力,公用事业,电力,火力发电,IPO受益、PPP模式、中盘成长、中盘股、中证500、充电桩、光伏概念、公用事业、创投、参股券商、垃圾分类、天然气、央国企改革、富时罗素、广东板块、新能源、标准普尔、氢能源、油气资源、深圳特区、深成500、深股通、火力发电、独角兽、电力、破净股、碳交易、绿色电力、节能环保、虚拟电厂、融资融券、超超临界发电、风能,2026-09-18
000028,国药一致,医药商业,医药生物,医药商业,医药流通,AB股、SPD概念、中特估、互联网医疗、低市净率、内贸流通、冷链物流、创新医疗服务、医药商业、医药流通、医药生物、单抗概念、央国企改革、富时罗素、小盘价值、小盘股、广东板块、机构重仓、标准普尔、深圳特区、深股通、破净股、破增发价股、融资融券、长期破净,2026-09-18
000029,深深房Ａ,房地产开发,房地产,房地产开发,住宅开发,2026中报首亏、AB股、住宅开发、央国企改革、小盘成长、小盘股、广东板块、房地产、房地产开发、深圳特区、深成500、深股通、粤港自贸、融资融券、金融地产风格,2026-09-18
000030,富奥股份,汽车零部件,汽车,汽车零部件,底盘与发动机系统,AB股、低空经济、华为汽车、参股保险、吉林板块、央国企改革、富时罗素、小米概念、小米汽车、底盘与发动机系统、换电概念、新能源车、标准普尔、汽车、汽车热管理、汽车零部件、深股通、破净股、融资融券、车联网(车路云)、飞行汽车(eVTOL),2026-09-18
000031,大悦城,房地产开发,房地产,房地产开发,商业地产,2026中报首亏、低价股、参股新三板、商业地产、央国企改革、富时罗素、小盘价值、小盘股、广东板块、房地产、房地产开发、标准普尔、深圳特区、深股通、破净股、破增发价股、融资融券、首发经济,2026-09-18
000032,深桑达Ａ,专业工程,建筑装饰,专业工程,其他专业工程,AI智能体、DeepSeek概念、一带一路、专业工程、中特估、中证500、云计算、低空经济、信创、元宇宙概念、其他专业工程、半导体概念、国资云概念、多模态AI、大数据、央国企改革、安防概念、小盘成长、小盘股、工程建设、广东板块、建筑装饰、数字孪生、数据中心、数据要素、智慧城市、智谱AI概念、深圳特区、深成500、深股通、破增发价股、算力概念、航天航空、融资融券、铁路基建,2026-09-18
000033,新都退,,休闲、生活及专业服务,休闲服务,酒店,,2026-09-18
