# GoalTracker 股价数据（行情快照，由 fetch_prices.py 生成）
股票代码,公司,现价,涨跌额,涨跌幅%,市盈率(动),市净率,换手率%,成交量(手),成交额(亿),总市值(亿),流通市值(亿),总股本(亿股)
688256.SH,寒武纪,1136.01,60.22,5.6,154.57,51.32,2.12,133049.0,149.6658,7143.8444,7143.8444,6.2885
300308.SZ,中际旭创,907.8,43.79,5.07,39.17,26.83,2.16,240218.0,214.7149,10693.0637,10076.0081,11.7791
300502.SZ,新易盛,423.69,26.68,6.72,39.24,24.32,3.04,381529.0,159.0578,5909.3624,5316.139,13.9474
688008.SH,澜起科技,199.89,12.06,6.42,61.07,11.34,3.06,350643.0,68.2899,2439.7335,2288.2698,12.2054
688041.SH,海光信息,235.09,10.49,4.67,151.92,21.54,0.83,194003.0,45.03,5464.2864,5464.2864,23.2434
603019.SH,中科曙光,83.3,1.24,1.51,62.73,5.29,1.43,209941.0,17.3593,1218.7754,1218.7243,14.6312
688012.SH,中微公司,352.6,22.0,6.65,59.77,11.24,2.29,216213.0,74.7657,3377.3521,3322.1868,9.5784
688981.SH,中芯国际,120.9,6.04,5.26,115.86,6.04,1.97,394365.0,46.7596,10351.7779,2418.718,85.6226
002371.SZ,北方华创,662.89,24.73,3.88,71.37,11.86,1.36,98364.0,64.6395,4810.5211,4806.5205,7.2569
603986.SH,兆易创新,373.14,10.03,2.76,19.15,7.01,4.01,268707.0,99.1579,2626.799,2502.7184,7.0397
601138.SH,工业富联,62.33,1.53,2.52,26.05,7.04,0.35,696685.0,43.1182,12368.8227,12368.8227,198.4409
002463.SZ,沪电股份,127.8,1.98,1.57,42.06,13.67,2.26,435413.0,55.2199,2459.3366,2457.4045,19.2436
600183.SH,生益科技,154.48,4.23,2.82,57.08,20.28,2.68,645509.0,98.7178,3752.3249,3725.6696,24.29
000977.SZ,浪潮信息,71.15,2.39,3.48,17.7,4.26,4.77,700137.0,49.3947,1044.8211,1043.7105,14.6848
000938.SZ,紫光股份,33.98,1.11,3.38,22.42,5.44,4.39,1254905.0,42.1462,971.8551,971.8527,28.6008
600206.SH,有研新材,51.63,4.69,9.99,119.2,10.11,8.97,759064.0,37.5851,437.0755,437.0755,8.4655
601872.SH,招商轮船,19.86,-0.64,-3.12,11.52,3.42,1.83,1474087.0,29.5675,1603.6033,1603.6033,80.7454
605499.SH,东鹏饮料,111.55,0.02,0.02,14.28,4.21,0.4,26816.0,2.9829,818.9993,754.0969,7.342
603444.SH,吉比特,373.49,1.88,0.51,12.33,5.04,1.29,9286.0,3.4408,269.0663,269.0663,0.7204
002648.SZ,卫星化学,26.87,0.02,0.07,7.27,2.38,0.82,276111.0,7.3948,905.1551,904.5738,33.6865
002957.SZ,科瑞技术,42.65,3.88,10.01,55.55,5.42,4.67,195801.0,8.0466,179.1225,178.6449,4.1998
600150.SH,中国船舶,37.79,-0.37,-0.97,14.29,1.87,1.19,899264.0,33.9411,2843.9323,2843.9323,75.2562
002008.SZ,大族激光,95.54,1.94,2.07,38.19,4.58,4.33,414283.0,39.4864,983.6831,914.0597,10.296
603268.SH,松发股份,185.8,-9.85,-5.03,26.23,9.46,4.64,108230.0,20.2811,1892.7761,433.3781,10.1872
600362.SH,江西铜业,44.1,1.13,2.63,8.85,1.74,2.03,421956.0,18.3953,1527.0637,915.1841,34.6273
002916.SZ,深南电路,392.5,2.78,0.71,59.37,14.83,1.12,74723.0,29.2775,2673.5789,2609.3771,6.8117
001232.SZ,嘉立创,193.99,-1.8,-0.92,52.3,8.5,9.26,40928.0,7.9128,1077.7308,85.7563,5.5556
600487.SH,亨通光电,65.4,2.98,4.77,25.85,4.79,6.69,1641751.0,106.0188,1613.0205,1604.6847,24.6639
603061.SH,金海通,328.5,18.5,5.97,83.48,15.07,5.02,43689.0,14.1869,285.795,285.795,0.87
300672.SZ,国科微,173.64,9.54,5.81,96.29,9.4,3.67,77093.0,13.1016,376.9767,365.2303,2.171
603629.SH,利通电子,109.58,1.38,1.28,28.61,15.25,7.16,258404.0,27.9353,401.8605,395.2807,3.6673
688372.SH,伟测科技,117.12,7.75,7.09,62.12,4.66,5.04,85256.0,9.8305,197.9287,197.9287,1.69
300661.SZ,圣邦股份,111.8,3.02,2.78,91.19,7.84,1.45,87527.0,9.6957,766.5391,672.9103,6.8563
300475.SZ,香农芯创,166.07,4.4,2.72,10.71,10.92,4.51,202491.0,33.1567,779.768,744.8192,4.6954
300346.SZ,南大光电,54.38,2.03,3.88,73.46,10.78,5.58,369470.0,19.8,375.8511,359.9934,6.9116
300442.SZ,润泽科技,62.58,1.67,2.74,42.67,7.45,1.15,187538.0,11.5947,1026.9641,1023.9517,16.4104
002111.SZ,威海广泰,9.57,-0.04,-0.42,16.03,1.67,1.07,52239.0,0.4991,50.9135,46.7735,5.3201
688110.SH,东芯股份,115.8,5.26,4.76,38.85,12.32,2.84,125841.0,14.3142,512.273,512.273,4.4238
002384.SZ,东山精密,192.0,9.18,5.02,59.47,14.43,4.44,614961.0,116.3969,3516.6865,2661.7377,18.3161
600584.SH,长电科技,69.55,2.69,4.02,73.67,4.3,4.61,825628.0,56.6797,1244.5378,1244.5378,17.8941
