# GoalTracker 股价数据（行情快照，由 fetch_prices.py 生成）
股票代码,公司,现价,涨跌额,涨跌幅%,市盈率(动),市净率,换手率%,成交量(手),成交额(亿),总市值(亿),流通市值(亿),总股本(亿股)
688256.SH,寒武纪,1092.38,20.38,1.9,148.63,49.35,1.62,102029.0,110.2636,6869.4754,6869.4754,6.2885
300308.SZ,中际旭创,898.46,84.46,10.38,38.76,26.55,3.89,431303.0,376.3455,10583.047,9972.34,11.7791
300502.SZ,新易盛,417.2,31.2,8.08,38.63,23.94,4.08,512218.0,209.18,5816.8389,5232.7024,13.9426
688008.SH,澜起科技,197.82,10.12,5.39,60.44,11.22,3.33,381599.0,74.7238,2414.4683,2264.5732,12.2054
688041.SH,海光信息,242.71,-0.96,-0.39,156.84,22.23,1.01,235448.0,56.4813,5641.401,5641.401,23.2434
603019.SH,中科曙光,83.38,0.69,0.83,62.79,5.29,1.43,209307.0,17.3534,1219.9459,1219.8947,14.6312
688012.SH,中微公司,344.0,8.58,2.56,58.31,10.97,1.68,158019.0,54.174,3294.9777,3241.1578,9.5784
688981.SH,中芯国际,124.12,2.98,2.46,118.93,6.2,1.57,313148.0,38.7404,10626.1017,2481.857,85.6115
002371.SZ,北方华创,660.65,22.48,3.52,71.13,11.82,1.11,80581.0,53.1421,4794.2657,4790.2786,7.2569
603986.SH,兆易创新,385.44,13.56,3.65,19.79,7.24,5.21,349656.0,134.1209,2713.3875,2585.2167,7.0397
601138.SH,工业富联,66.57,2.88,4.52,27.82,7.52,0.88,1743476.0,115.0607,13210.2122,13210.2122,198.4409
002463.SZ,沪电股份,122.65,11.15,10.0,40.37,13.12,4.17,801001.0,96.1393,2360.2319,2358.3777,19.2436
600183.SH,生益科技,148.15,10.65,7.75,54.74,19.45,3.48,839356.0,121.6889,3598.5689,3573.0059,24.29
000977.SZ,浪潮信息,74.74,-2.98,-3.83,18.59,4.47,10.09,1479965.0,109.4054,1097.5395,1096.3728,14.6848
000938.SZ,紫光股份,35.37,0.1,0.28,23.34,5.66,5.82,1665301.0,58.3783,1011.6103,1011.6077,28.6008
600206.SH,有研新材,46.65,1.43,3.16,107.7,9.13,6.78,573636.0,26.6327,394.9171,394.9171,8.4655
605338.SH,巴比食品,19.54,0.19,0.98,17.38,2.14,0.82,19740.0,0.3851,46.8113,46.8113,2.3957
601872.SH,招商轮船,18.69,-0.51,-2.66,10.84,3.22,1.53,1238189.0,23.6746,1509.1312,1509.1312,80.7454
002884.SZ,凌霄泵业,15.97,0.06,0.38,13.44,2.52,0.5,13746.0,0.2187,57.1219,43.8468,3.5768
605099.SH,共创草坪,29.96,0.21,0.71,15.93,3.82,0.36,14414.0,0.4312,120.6378,120.4771,4.0266
002690.SZ,美亚光电,15.89,-0.15,-0.94,22.26,5.45,0.85,36237.0,0.5769,140.1862,67.8554,8.8223
