# GoalTracker 股价数据（行情快照，由 fetch_prices.py 生成）
股票代码,公司,现价,涨跌额,涨跌幅%,市盈率(动),市净率,换手率%,成交量(手),成交额(亿),总市值(亿),流通市值(亿),总股本(亿股)
688256.SH,寒武纪,1040.0,-3.84,-0.37,141.5,46.98,1.71,107648.0,110.5746,6540.0817,6540.0817,6.2885
300308.SZ,中际旭创,926.0,35.9,4.03,39.95,27.36,2.95,327813.0,299.7407,10907.4433,10278.0166,11.7791
300502.SZ,新易盛,423.0,12.1,2.94,39.17,24.27,3.37,422914.0,177.3337,5897.7058,5305.4485,13.9426
688008.SH,澜起科技,191.96,-3.37,-1.73,58.65,10.89,2.43,277980.0,52.8706,2342.9448,2197.49,12.2054
688041.SH,海光信息,230.89,-1.48,-0.64,149.2,21.15,0.82,190054.0,43.3651,5366.6642,5366.6642,23.2434
603019.SH,中科曙光,82.25,-0.1,-0.12,61.94,5.22,1.48,216230.0,17.6064,1203.4127,1203.3622,14.6312
688012.SH,中微公司,333.59,-0.6,-0.18,56.55,10.64,1.38,129881.0,42.7608,3195.2663,3143.0751,9.5784
688981.SH,中芯国际,117.41,-1.77,-1.49,112.51,5.86,1.76,351651.0,41.1667,10052.9548,2348.8973,85.6226
002371.SZ,北方华创,634.0,-4.64,-0.73,68.26,11.35,0.91,66181.0,41.4642,4600.8695,4597.0432,7.2569
603986.SH,兆易创新,371.32,-9.32,-2.45,19.06,6.98,4.36,292309.0,107.8593,2613.9867,2490.5113,7.0397
601138.SH,工业富联,64.07,0.16,0.25,26.78,7.23,0.38,758983.0,48.2582,12714.1099,12714.1099,198.4409
002463.SZ,沪电股份,128.25,0.33,0.26,42.21,13.72,2.29,439497.0,55.6313,2467.9962,2466.0574,19.2436
600183.SH,生益科技,148.43,1.47,1.0,54.84,19.49,3.3,796211.0,115.1592,3605.3701,3579.7588,24.29
000977.SZ,浪潮信息,70.54,0.11,0.16,17.55,4.22,4.84,709783.0,49.1323,1035.8634,1034.7623,14.6848
000938.SZ,紫光股份,32.84,-0.26,-0.79,21.67,5.26,4.31,1233422.0,40.165,939.2502,939.2479,28.6008
600206.SH,有研新材,45.55,-1.24,-2.65,105.16,8.92,8.7,736128.0,32.932,385.605,385.605,8.4655
601872.SH,招商轮船,20.0,-0.58,-2.82,11.6,3.45,2.03,1640271.0,33.052,1614.9077,1614.9077,80.7454
605499.SH,东鹏饮料,112.77,-0.66,-0.58,14.44,4.25,0.5,33828.0,3.8005,827.9566,762.3443,7.342
603444.SH,吉比特,375.2,-9.7,-2.52,12.38,5.06,2.17,15625.0,5.9128,270.2982,270.2982,0.7204
002648.SZ,卫星化学,27.22,-0.85,-3.03,7.36,2.41,1.47,493935.0,13.6159,916.9454,916.3565,33.6865
002957.SZ,科瑞技术,39.16,-0.79,-1.98,51.0,4.97,3.07,128514.0,5.0051,164.4651,164.0266,4.1998
600150.SH,中国船舶,39.75,-1.07,-2.62,15.03,1.96,2.44,1832758.0,72.4779,2991.4345,2991.4345,75.2562
002008.SZ,大族激光,92.85,-1.93,-2.04,37.11,4.45,3.97,380266.0,34.9497,955.9868,888.3237,10.296
603268.SH,松发股份,197.5,-2.09,-1.05,27.88,10.06,2.0,46669.0,9.2157,2011.966,460.6683,10.1872
600362.SH,江西铜业,45.78,-3.86,-7.78,9.18,1.81,5.53,1146697.0,52.1171,1585.2375,950.0483,34.6273
002916.SZ,深南电路,396.68,4.37,1.11,60.01,14.99,1.35,90046.0,35.3807,2702.0516,2637.1661,6.8117
001232.SZ,嘉立创,182.48,16.59,10.0,49.2,7.99,16.25,71841.0,12.4855,1013.7859,80.6681,5.5556
600487.SH,亨通光电,65.24,1.33,2.08,25.79,4.77,6.93,1700286.0,109.0244,1609.0743,1600.7588,24.6639
603061.SH,金海通,303.72,-11.63,-3.69,77.18,13.93,3.9,33919.0,10.2077,264.2364,264.2364,0.87
300672.SZ,国科微,163.7,-4.93,-2.92,90.78,8.86,3.65,76671.0,12.4168,355.3967,344.3228,2.171
603629.SH,利通电子,105.28,-1.1,-1.03,27.48,14.65,5.78,208604.0,21.6869,386.0912,379.7696,3.6673
688372.SH,伟测科技,107.83,-4.33,-3.86,57.19,4.29,4.56,77134.0,8.231,182.229,182.229,1.69
300661.SZ,圣邦股份,107.98,1.29,1.21,88.07,7.57,1.92,115445.0,12.2755,740.3479,649.9182,6.8563
300475.SZ,香农芯创,167.65,-5.53,-3.19,10.81,11.03,5.17,231732.0,38.6224,787.1868,751.9055,4.6954
300346.SZ,南大光电,51.0,-0.86,-1.66,68.9,10.11,3.29,217833.0,11.0082,352.49,337.6179,6.9116
300442.SZ,润泽科技,61.05,-0.9,-1.45,41.62,7.26,1.03,169095.0,10.2491,1001.8561,998.9174,16.4104
002111.SZ,威海广泰,9.9,-0.06,-0.6,16.58,1.72,1.64,80290.0,0.7908,52.6691,48.3864,5.3201
688110.SH,东芯股份,110.28,-3.98,-3.48,37.0,11.74,4.11,181656.0,19.8747,487.8538,487.8538,4.4238
002384.SZ,东山精密,194.42,0.68,0.35,60.22,14.61,5.35,741843.0,144.2015,3561.0114,2695.2867,18.3161
600584.SH,长电科技,67.74,-0.38,-0.56,71.76,4.19,3.72,665414.0,44.4667,1212.1494,1212.1494,17.8941
600601.SH,方正科技,14.83,0.01,0.07,55.25,12.08,5.76,2401078.0,35.31,633.7961,618.4545,42.7374
300319.SZ,麦捷科技,21.06,1.06,5.3,61.91,3.78,20.39,1735427.0,35.7313,186.9261,179.2775,8.8759
688536.SH,思瑞浦,297.0,-6.05,-2.0,66.62,6.19,2.35,31856.0,9.3321,410.0842,402.8775,1.3808
300394.SZ,天孚通信,261.96,-7.04,-2.62,118.64,50.1,4.18,455444.0,119.6835,2857.5254,2851.1413,10.9083
603893.SH,瑞芯微,180.3,-2.36,-1.29,44.41,15.49,1.84,77813.0,13.8844,762.9278,762.8305,4.2314
301696.SZ,三瑞智能,91.12,-1.39,-1.5,68.73,18.49,4.97,14963.0,1.3544,364.4891,27.412,4.0001
688380.SH,中微半导,37.31,-0.63,-1.66,43.52,4.63,1.73,69220.0,2.5496,149.3762,149.3762,4.0037
688183.SH,生益电子,125.25,-0.32,-0.25,47.23,16.11,1.92,160876.0,19.8456,1049.083,1049.083,8.3759
300738.SZ,奥飞数据,19.17,-0.27,-1.39,48.04,5.15,2.56,252515.0,4.8218,188.8636,188.8042,9.852
001389.SZ,广合科技,175.0,1.0,0.57,43.29,10.43,4.65,70913.0,12.1494,827.2668,266.6503,4.7272
002297.SZ,博云新材,23.53,1.63,7.44,39.61,5.87,33.2,1902692.0,44.0007,134.8516,134.8516,5.731
002491.SZ,通鼎互联,21.19,0.17,0.81,64.34,9.75,10.6,1246619.0,26.1669,260.6358,249.2937,12.2999
002185.SZ,华天科技,16.2,-0.18,-1.1,33.13,2.83,6.13,2038942.0,32.5682,538.9348,538.8163,33.2676
002558.SZ,巨人网络,25.21,-0.79,-3.04,11.17,2.85,2.34,444905.0,11.2884,479.1317,479.1298,19.0056
003022.SZ,联泓新科,19.03,-0.33,-1.7,29.77,3.26,0.44,59007.0,1.1147,254.1586,253.9424,13.3557
000155.SZ,川能动力,11.74,-0.24,-2.0,15.35,1.94,1.36,251173.0,2.9469,216.7402,216.7402,18.4617
601869.SH,长飞光纤,473.99,38.25,8.78,67.09,24.34,4.62,187736.0,84.4775,3924.1874,1926.003,8.2791
002975.SZ,博杰股份,97.0,-2.37,-2.39,59.03,8.17,7.88,108895.0,10.4344,201.8868,134.1152,2.0813
600961.SH,株冶集团,24.3,-1.1,-4.33,6.69,4.45,4.32,324630.0,7.79,260.7081,182.6904,10.7287
000426.SZ,兴业银锡,35.97,-2.71,-7.01,14.11,5.63,5.26,934384.0,33.1658,638.6962,638.5306,17.7564
600026.SH,中远海能,20.86,-0.44,-2.07,12.56,2.37,1.8,689811.0,14.5594,1141.2953,798.5191,54.7121
603992.SH,松霖科技,19.17,-0.55,-2.79,27.45,2.44,0.77,34088.0,0.6516,84.9311,84.9311,4.4304
603259.SH,药明康德,151.24,-3.26,-2.11,20.65,5.58,1.23,303599.0,45.8942,4584.2273,3740.589,30.3109
600499.SH,科达制造,14.47,-0.41,-2.76,10.8,2.09,0.9,172919.0,2.4962,277.5138,277.5138,19.1786
600160.SH,巨化股份,35.26,-1.74,-4.7,17.96,4.32,1.28,346399.0,12.2486,951.9305,951.9305,26.9975
002415.SZ,海康威视,33.25,-0.26,-0.78,19.3,3.84,0.48,433789.0,14.4199,3047.3198,3007.8262,91.6487
002841.SZ,视源股份,45.24,-1.1,-2.37,10.4,2.26,1.11,57671.0,2.5987,316.312,235.8567,6.9919
002602.SZ,世纪华通,15.56,0.0,0.0,12.74,3.35,1.35,916792.0,14.256,1146.8782,1057.5866,73.7068
