# GoalTracker 股价数据（行情快照，由 fetch_prices.py 生成）
股票代码,公司,现价,涨跌额,涨跌幅%,市盈率(动),市净率,换手率%,成交量(手),成交额(亿),总市值(亿),流通市值(亿),总股本(亿股)
688256.SH,寒武纪,1112.99,0.81,0.07,151.44,50.28,0.71,44548.0,50.0002,6999.0822,6999.0822,6.2885
300308.SZ,中际旭创,845.39,-6.51,-0.76,36.47,24.98,0.73,80891.0,68.6229,9957.9303,9383.2964,11.7791
300502.SZ,新易盛,391.68,-10.19,-2.54,36.27,22.48,0.91,114464.0,44.9611,5461.0246,4912.6196,13.9426
688008.SH,澜起科技,197.69,-7.26,-3.54,60.4,11.21,1.16,133029.0,26.5288,2412.8816,2263.085,12.2054
688041.SH,海光信息,251.27,-2.63,-1.04,162.37,23.02,0.32,74897.0,18.9567,5840.3643,5840.3643,23.2434
603019.SH,中科曙光,86.99,-1.28,-1.45,65.51,5.52,0.88,128674.0,11.2339,1272.7644,1272.711,14.6312
688012.SH,中微公司,353.01,-8.99,-2.48,59.84,11.26,0.55,51436.0,18.2981,3381.2793,3326.0498,9.5784
688981.SH,中芯国际,126.72,-1.98,-1.54,121.42,6.33,0.47,94911.0,12.0619,10848.6916,2533.8457,85.6115
002371.SZ,北方华创,677.77,-22.02,-3.15,72.97,12.13,0.32,23485.0,15.9906,4918.5037,4914.4132,7.2569
603986.SH,兆易创新,397.5,-8.5,-2.09,20.41,7.47,1.58,105936.0,42.3281,2798.2864,2666.1053,7.0397
601138.SH,工业富联,63.11,-1.73,-2.67,26.38,7.13,0.18,355891.0,22.5802,12523.6066,12523.6066,198.4409
002463.SZ,沪电股份,120.66,-4.25,-3.4,39.71,12.91,1.11,213662.0,25.9008,2321.937,2320.1129,19.2436
600183.SH,生益科技,145.49,-7.91,-5.16,53.76,19.1,1.77,427188.0,62.5438,3533.9574,3508.8534,24.29
000977.SZ,浪潮信息,86.31,1.13,1.33,21.47,5.17,3.92,574923.0,49.6046,1267.4422,1266.0949,14.6848
000938.SZ,紫光股份,38.78,-0.17,-0.44,25.59,6.21,3.57,1020418.0,39.8009,1109.139,1109.1362,28.6008
600206.SH,有研新材,49.32,-2.4,-4.64,113.87,9.66,4.01,339847.0,16.9412,417.5201,417.5201,8.4655
605338.SH,巴比食品,19.12,0.46,2.47,17.01,2.1,0.39,9271.0,0.1759,45.8051,45.8051,2.3957
601872.SH,招商轮船,18.9,0.15,0.8,10.96,3.26,0.42,338610.0,6.3133,1526.0878,1526.0878,80.7454
002884.SZ,凌霄泵业,16.15,0.15,0.94,13.59,2.54,0.35,9476.0,0.1524,57.7657,44.341,3.5768
605099.SH,共创草坪,30.58,-0.08,-0.26,16.26,3.9,0.14,5750.0,0.1765,123.1343,122.9702,4.0266
002690.SZ,美亚光电,16.22,0.13,0.81,22.72,5.56,0.43,18483.0,0.2996,143.0975,69.2646,8.8223
603025.SH,大豪科技,13.79,0.01,0.07,14.47,5.58,0.31,34509.0,0.4772,153.9867,152.9552,11.1665
000915.SZ,华特达因,25.27,0.16,0.64,13.25,2.26,0.34,8045.0,0.2018,59.2156,59.1628,2.3433
300770.SZ,新媒股份,35.36,-0.03,-0.08,13.47,2.17,1.02,23174.0,0.8189,80.5637,80.5637,2.2784
603871.SH,嘉友国际,13.9,0.26,1.91,13.0,3.04,0.23,31266.0,0.4318,190.1532,190.1532,13.6801
300926.SZ,博俊科技,18.25,0.36,2.01,13.93,2.16,0.52,15566.0,0.2829,79.2646,54.3837,4.3433
001380.SZ,华纬科技,17.83,0.25,1.42,20.68,2.39,0.52,12159.0,0.2166,48.2933,41.4962,2.7085
300181.SZ,佐力药业,13.64,-0.01,-0.07,12.76,2.88,0.71,42666.0,0.5819,95.6692,82.1808,7.0139
603173.SH,福斯达,31.44,-0.05,-0.16,16.64,2.52,0.12,1934.0,0.0609,50.304,50.304,1.6
605305.SH,中际联合,32.73,0.16,0.49,13.2,2.23,0.85,18091.0,0.5912,69.5578,69.5578,2.1252
605499.SH,东鹏饮料,123.5,3.52,2.93,15.81,4.66,0.72,48578.0,5.9756,906.7361,834.8809,7.342
300628.SZ,亿联网络,41.9,0.5,1.21,17.41,5.76,0.55,39816.0,1.6654,530.8388,304.1398,12.6692
603444.SH,吉比特,383.35,-0.14,-0.04,12.65,4.56,0.95,6874.0,2.6568,276.1696,276.1696,0.7204
000848.SZ,承德露露,8.44,0.22,2.68,14.45,2.67,1.61,162211.0,1.3609,86.088,85.2958,10.2
002867.SZ,周大生,10.88,0.04,0.37,13.13,1.9,0.45,48527.0,0.5268,118.0996,117.4106,10.8547
000528.SZ,柳    工,8.0,0.17,2.17,7.68,0.87,1.2,244980.0,1.9471,163.246,163.0196,20.4058
002648.SZ,卫星化学,29.15,0.67,2.35,7.89,2.58,0.74,247829.0,7.1811,981.9602,981.3296,33.6865
000791.SZ,甘肃能源,7.26,0.09,1.26,14.02,1.55,0.36,70491.0,0.5103,235.5028,140.5269,32.4384
002957.SZ,科瑞技术,39.56,-2.16,-5.18,51.53,5.02,2.49,104472.0,4.1699,166.1451,165.702,4.1998
600150.SH,中国船舶,34.35,0.27,0.79,12.99,1.7,0.5,378415.0,12.9861,2585.0509,2585.0509,75.2562
002008.SZ,大族激光,95.78,-0.6,-0.62,38.28,4.6,4.51,431196.0,41.8298,986.1541,916.3559,10.296
603268.SH,松发股份,185.19,-9.04,-4.65,26.14,9.43,1.8,41942.0,7.8789,1886.5619,431.9553,10.1872
600362.SH,江西铜业,49.49,1.09,2.25,9.93,1.96,1.97,408969.0,20.0266,1713.7048,1027.0399,34.6273
002916.SZ,深南电路,355.3,-13.78,-3.73,53.75,13.42,0.43,28584.0,10.1717,2420.1849,2362.068,6.8117
001232.SZ,嘉立创,167.6,-5.58,-3.22,45.18,7.34,4.65,20564.0,3.4794,931.1186,74.0902,5.5556
600487.SH,亨通光电,66.13,-1.25,-1.86,26.14,4.84,2.2,540987.0,35.8982,1631.0252,1622.5963,24.6639
603061.SH,金海通,337.5,-4.68,-1.37,85.77,15.48,1.2,10425.0,3.5102,293.625,293.625,0.87
300672.SZ,国科微,174.52,-2.26,-1.28,96.78,9.45,1.81,38029.0,6.596,378.8872,367.0813,2.171
603629.SH,利通电子,116.65,-5.51,-4.51,30.45,16.23,3.56,128339.0,15.0944,427.7882,420.7838,3.6673
688372.SH,伟测科技,129.76,-0.96,-0.73,68.82,5.16,1.82,30716.0,3.9615,219.2899,219.2899,1.69
300661.SZ,圣邦股份,114.7,0.7,0.61,93.54,8.05,0.72,43160.0,4.936,786.3435,690.286,6.8557
300475.SZ,香农芯创,170.87,-7.13,-4.01,11.02,11.24,2.95,132268.0,22.7922,802.306,766.3471,4.6954
300346.SZ,南大光电,54.0,-1.87,-3.35,72.95,10.53,1.89,125341.0,6.8204,373.2247,357.4778,6.9116
300442.SZ,润泽科技,64.8,-1.42,-2.14,44.18,7.34,0.65,107142.0,7.0339,1063.3952,1060.276,16.4104
300398.SZ,飞凯材料,34.96,-1.45,-3.98,37.3,3.81,2.61,147800.0,5.215,199.2836,198.2985,5.7003
002111.SZ,威海广泰,9.79,-0.06,-0.61,16.4,1.7,0.97,47300.0,0.4658,52.0839,47.8488,5.3201
300033.SZ,同花顺,230.64,1.44,0.63,91.14,22.63,1.14,49816.0,11.4738,1735.8889,1011.1487,7.5264
688110.SH,东芯股份,117.97,-1.87,-1.56,39.58,12.56,1.31,57804.0,6.8661,521.8726,521.8726,4.4238
002384.SZ,东山精密,188.8,-9.2,-4.65,58.47,14.19,1.98,274297.0,52.3873,3458.075,2617.3754,18.3161
600584.SH,长电科技,73.83,-1.92,-2.53,78.21,4.56,1.39,248162.0,18.516,1321.1248,1321.1248,17.8941
600601.SH,方正科技,12.36,-0.43,-3.36,46.05,10.06,1.52,634961.0,7.8816,528.2346,515.4483,42.7374
300319.SZ,麦捷科技,20.57,-0.43,-2.05,60.47,3.69,6.06,515910.0,10.5616,182.5769,175.1063,8.8759
688536.SH,思瑞浦,309.67,0.52,0.17,69.47,6.46,1.04,14046.0,4.3638,427.5783,420.0642,1.3808
300394.SZ,天孚通信,251.0,-12.0,-4.56,113.68,43.82,1.58,171610.0,43.3196,2737.971,2731.854,10.9083
603893.SH,瑞芯微,202.25,7.66,3.94,49.81,17.38,5.33,225368.0,46.4426,855.8078,855.6986,4.2314
301696.SZ,三瑞智能,97.78,-0.66,-0.67,73.76,19.84,1.9,5715.0,0.5579,391.1298,29.4155,4.0001
688380.SH,中微半导,40.19,-1.09,-2.64,46.88,4.98,0.85,34138.0,1.3815,160.9067,160.9067,4.0037
688183.SH,生益电子,122.67,-6.21,-4.82,46.25,15.78,0.92,77344.0,9.567,1027.4732,1027.4732,8.3759
300738.SZ,奥飞数据,20.06,-0.33,-1.62,50.27,5.39,1.44,141828.0,2.8738,197.6319,197.5698,9.852
