# GoalTracker 股价数据（行情快照，由 fetch_prices.py 生成）
股票代码,公司,现价,涨跌额,涨跌幅%,5日涨幅%,本月涨幅%,市盈率(动),市净率,换手率%,成交量(手),成交额(亿),总市值(亿),流通市值(亿),总股本(亿股)
688256.SH,寒武纪,1113.14,7.15,0.65,7.03,0.09,151.46,50.29,1.9,119646.0,135.1487,7000.0255,7000.0255,6.2885
300308.SZ,中际旭创,926.43,30.43,3.4,0.05,8.75,39.97,27.38,2.66,295055.0,270.7956,10912.5083,10282.7894,11.7791
300502.SZ,新易盛,445.0,20.66,4.87,5.2,10.73,41.22,25.54,3.35,420921.0,185.1104,6206.5809,5583.5207,13.9474
688008.SH,澜起科技,202.53,8.2,4.22,5.51,-1.18,61.88,11.49,3.49,399859.0,80.7352,2471.9557,2318.4916,12.2054
688041.SH,海光信息,241.38,9.38,4.04,4.54,-4.93,155.98,22.11,1.15,268314.0,64.8847,5610.4873,5610.4873,23.2434
603019.SH,中科曙光,84.3,1.62,1.96,2.49,-4.5,63.49,5.35,1.95,285022.0,23.8987,1233.4066,1233.3548,14.6312
688012.SH,中微公司,354.92,3.69,1.05,6.39,-1.96,60.17,11.32,2.19,206050.0,73.3617,3399.5741,3344.0457,9.5784
688981.SH,中芯国际,122.0,3.38,2.85,3.91,-5.21,116.91,6.09,1.94,387220.0,47.1186,10445.9628,2440.7246,85.6226
002371.SZ,北方华创,686.51,21.01,3.16,8.28,-1.9,73.92,12.29,1.34,97375.0,66.3076,4981.9289,4977.7857,7.2569
603986.SH,兆易创新,388.18,18.3,4.95,4.54,-4.39,19.93,7.29,6.12,410514.0,157.8769,2732.6763,2603.5944,7.0397
601138.SH,工业富联,62.71,1.44,2.35,-2.12,-3.29,26.21,7.08,0.56,1112075.0,69.9034,12444.2303,12444.2303,198.4409
002463.SZ,沪电股份,123.5,0.02,0.02,-3.7,-1.13,40.65,13.21,3.07,589582.0,72.5597,2376.589,2374.7219,19.2436
600183.SH,生益科技,143.93,-2.1,-1.44,-3.03,-6.17,53.18,18.9,3.63,875139.0,125.6581,3496.065,3471.2301,24.29
000977.SZ,浪潮信息,71.88,2.07,2.97,1.9,-15.61,17.88,4.3,4.65,682039.0,48.6412,1055.541,1054.419,14.6848
000938.SZ,紫光股份,33.95,1.15,3.51,3.38,-12.84,22.4,5.43,5.26,1503943.0,50.6393,970.9971,970.9947,28.6008
600206.SH,有研新材,51.6,1.05,2.08,13.28,-0.23,119.13,10.1,13.06,1105586.0,56.314,436.8215,436.8215,8.4655
