# GoalTracker 股价数据（行情快照，由 fetch_prices.py 生成）
股票代码,公司,现价,涨跌额,涨跌幅%,市盈率(动),市净率,换手率%,成交量(手),成交额(亿),总市值(亿),流通市值(亿),总股本(亿股)
688256.SH,寒武纪,1043.84,-11.12,-1.05,142.03,47.16,0.9,56790.0,59.3853,6564.2297,6564.2297,6.2885
300308.SZ,中际旭创,890.1,-18.8,-2.07,38.4,26.3,1.56,173099.0,154.9112,10484.5737,9879.5493,11.7791
300502.SZ,新易盛,410.9,-3.9,-0.94,38.05,23.58,1.75,218893.0,90.4126,5729.0007,5153.6851,13.9426
688008.SH,澜起科技,195.33,0.03,0.02,59.68,11.08,1.63,186335.0,36.5724,2384.0769,2236.0685,12.2054
688041.SH,海光信息,232.37,-3.43,-1.45,150.16,21.29,0.56,130787.0,30.3922,5401.0644,5401.0644,23.2434
603019.SH,中科曙光,82.35,-0.08,-0.1,62.02,5.23,0.88,129351.0,10.6373,1204.8758,1204.8253,14.6312
688012.SH,中微公司,334.19,1.19,0.36,56.65,10.66,0.88,83245.0,27.8329,3201.0133,3148.7283,9.5784
688981.SH,中芯国际,119.18,-1.33,-1.1,114.21,5.95,0.96,191519.0,22.8888,10204.5069,2384.3078,85.6226
002371.SZ,北方华创,638.64,-7.76,-1.2,68.76,11.43,0.54,38943.0,24.9555,4634.5415,4630.6872,7.2569
603986.SH,兆易创新,380.64,-1.23,-0.32,19.54,7.15,3.21,215208.0,82.4254,2679.5968,2553.0222,7.0397
601138.SH,工业富联,63.91,-1.33,-2.04,26.71,7.22,0.29,567595.0,36.4026,12682.3594,12682.3594,198.4409
002463.SZ,沪电股份,127.92,0.37,0.29,42.1,13.68,1.84,353845.0,45.543,2461.6458,2459.7119,19.2436
600183.SH,生益科技,146.96,-1.2,-0.81,54.3,19.29,2.42,583540.0,86.2534,3569.6638,3544.3061,24.29
000977.SZ,浪潮信息,70.43,-0.95,-1.33,17.52,4.22,3.61,530264.0,37.6376,1034.2481,1033.1487,14.6848
000938.SZ,紫光股份,33.1,-0.47,-1.4,21.84,5.3,2.73,780505.0,25.9596,946.6864,946.6841,28.6008
600206.SH,有研新材,46.79,0.37,0.8,108.03,9.16,8.43,713301.0,33.5516,396.1023,396.1023,8.4655
601872.SH,招商轮船,20.58,-0.41,-1.95,11.94,3.55,2.66,2151176.0,43.5638,1661.74,1661.74,80.7454
605499.SH,东鹏饮料,113.43,-3.82,-3.26,14.52,4.28,0.77,52292.0,5.9763,832.8023,766.806,7.342
603444.SH,吉比特,384.9,-2.88,-0.74,12.7,5.19,1.28,9245.0,3.5638,277.2862,277.2862,0.7204
002648.SZ,卫星化学,28.07,-0.11,-0.39,7.59,2.49,1.46,492108.0,14.014,945.5788,944.9716,33.6865
002957.SZ,科瑞技术,39.95,-1.19,-2.89,52.03,5.07,3.01,126260.0,5.085,167.783,167.3356,4.1998
600150.SH,中国船舶,40.82,1.29,3.26,15.43,2.02,2.34,1757402.0,71.4456,3071.9586,3071.9586,75.2562
002008.SZ,大族激光,94.78,-0.07,-0.07,37.88,4.55,4.05,387220.0,36.6752,975.8581,906.7886,10.296
603268.SH,松发股份,199.59,1.89,0.96,28.17,10.17,2.13,49575.0,9.8733,2033.2571,465.5433,10.1872
600362.SH,江西铜业,49.64,0.07,0.14,9.96,1.96,3.81,790539.0,39.3698,1718.8989,1030.1528,34.6273
002916.SZ,深南电路,392.31,9.01,2.35,59.35,14.82,1.25,83110.0,32.3527,2672.2847,2608.114,6.8117
001232.SZ,嘉立创,165.89,3.49,2.15,44.72,7.27,10.1,44638.0,7.4731,921.6185,73.3342,5.5556
600487.SH,亨通光电,63.91,-2.71,-4.07,25.26,4.68,5.97,1464000.0,94.4732,1576.2713,1568.1253,24.6639
603061.SH,金海通,315.35,-0.85,-0.27,80.14,14.46,1.96,17012.0,5.3936,274.3545,274.3545,0.87
300672.SZ,国科微,168.63,-0.39,-0.23,93.51,9.13,2.3,48328.0,8.1929,366.0999,354.6924,2.171
603629.SH,利通电子,106.38,-2.88,-2.64,27.77,14.8,5.71,206070.0,21.8438,390.1252,383.7376,3.6673
688372.SH,伟测科技,112.16,-0.9,-0.8,59.49,4.46,2.12,35847.0,4.0351,189.5465,189.5465,1.69
300661.SZ,圣邦股份,106.69,-1.06,-0.98,87.02,7.48,1.45,87116.0,9.3117,731.5032,642.1538,6.8563
300475.SZ,香农芯创,173.18,-1.34,-0.77,11.17,11.39,4.75,212841.0,37.3329,813.1524,776.7073,4.6954
300346.SZ,南大光电,51.86,-0.8,-1.52,70.06,10.28,2.54,167820.0,8.7341,358.434,343.3111,6.9116
