# GoalTracker 股价数据（行情快照，由 fetch_prices.py 生成）
股票代码,公司,现价,涨跌额,涨跌幅%,市盈率(动),市净率,换手率%,成交量(手),成交额(亿),总市值(亿),流通市值(亿),总股本(亿股)
688256.SH,寒武纪,1058.99,-33.39,-3.06,144.09,47.84,1.37,86295.0,92.8897,6659.5011,6659.5011,6.2885
300308.SZ,中际旭创,902.37,3.91,0.44,38.93,26.67,2.59,287658.0,262.2281,10629.1032,10015.7385,11.7791
300502.SZ,新易盛,416.4,-0.8,-0.19,38.55,23.89,2.95,369420.0,155.7506,5805.6848,5222.6685,13.9426
688008.SH,澜起科技,195.65,-2.17,-1.1,59.78,11.1,2.39,273087.0,53.8198,2387.9826,2239.7318,12.2054
688041.SH,海光信息,236.9,-5.81,-2.39,153.08,21.7,0.77,179187.0,43.0256,5506.3569,5506.3569,23.2434
603019.SH,中科曙光,82.54,-0.84,-1.01,62.16,5.24,1.29,188379.0,15.616,1207.6558,1207.6051,14.6312
688012.SH,中微公司,336.01,-7.99,-2.32,56.96,10.71,1.69,158982.0,53.5366,3218.4461,3165.8763,9.5784
688981.SH,中芯国际,121.52,-2.6,-2.09,116.45,6.07,1.39,277642.0,33.9894,10404.7663,2429.8684,85.6218
002371.SZ,北方华创,647.87,-12.78,-1.93,69.76,11.6,0.8,58108.0,37.9393,4701.5226,4697.6126,7.2569
603986.SH,兆易创新,385.96,0.52,0.13,19.81,7.25,5.59,374698.0,146.0553,2717.0481,2588.7045,7.0397
601138.SH,工业富联,64.75,-1.82,-2.73,27.06,7.31,0.54,1076036.0,70.6018,12849.0498,12849.0498,198.4409
002463.SZ,沪电股份,124.9,2.25,1.83,41.11,13.36,3.59,690849.0,87.2116,2403.5301,2401.6418,19.2436
600183.SH,生益科技,146.28,-1.87,-1.26,54.05,19.2,2.86,690344.0,102.4754,3553.1466,3527.9062,24.29
000977.SZ,浪潮信息,72.32,-2.42,-3.24,17.99,4.33,7.22,1059320.0,77.3129,1062.0023,1060.8734,14.6848
000938.SZ,紫光股份,33.89,-1.48,-4.18,22.37,5.42,6.33,1810939.0,62.0858,969.2811,969.2786,28.6008
600206.SH,有研新材,46.85,0.2,0.43,108.17,9.17,9.66,818025.0,38.8483,396.6102,396.6102,8.4655
605338.SH,巴比食品,19.53,-0.01,-0.05,17.37,2.14,0.79,18823.0,0.3682,46.7874,46.7874,2.3957
601872.SH,招商轮船,19.08,0.39,2.09,11.07,3.29,1.13,913468.0,17.2934,1540.6219,1540.6219,80.7454
002884.SZ,凌霄泵业,16.06,0.09,0.56,13.51,2.53,0.48,13076.0,0.2092,57.4438,44.0939,3.5768
605099.SH,共创草坪,30.17,0.21,0.7,16.04,3.84,0.34,13810.0,0.4169,121.4833,121.3215,4.0266
002690.SZ,美亚光电,15.97,0.08,0.5,22.37,5.47,0.72,30938.0,0.4937,140.892,68.1971,8.8223
603025.SH,大豪科技,13.45,-0.08,-0.59,14.11,5.44,0.41,45625.0,0.6148,150.1901,149.184,11.1665
000915.SZ,华特达因,26.35,0.36,1.39,13.82,2.36,2.0,46753.0,1.2247,61.7463,61.6914,2.3433
300770.SZ,新媒股份,36.07,0.52,1.46,13.74,2.22,1.3,29682.0,1.0705,82.1814,82.1814,2.2784
603871.SH,嘉友国际,14.15,0.21,1.51,13.24,3.09,0.79,108715.0,1.5277,193.5732,193.5732,13.6801
300926.SZ,博俊科技,17.65,0.01,0.06,13.47,2.08,0.74,21905.0,0.3871,76.6586,52.5958,4.3433
001380.SZ,华纬科技,18.03,0.11,0.61,20.92,2.42,0.73,16954.0,0.3043,48.835,41.9616,2.7085
