# GoalTracker 股价数据（行情快照，由 fetch_prices.py 生成）
股票代码,公司,现价,涨跌额,涨跌幅%,市盈率(动),市净率,换手率%,成交量(手),成交额(亿),总市值(亿),流通市值(亿),总股本(亿股)
688256.SH,寒武纪,1046.63,-1.37,-0.13,142.41,47.28,1.73,108604.0,116.3672,6581.7747,6581.7747,6.2885
300308.SZ,中际旭创,858.35,-7.77,-0.9,36.77,25.19,2.86,317196.0,280.4863,10040.4173,9527.1552,11.6973
300502.SZ,新易盛,399.0,-10.1,-2.47,36.94,22.9,3.39,425602.0,175.4822,5563.0842,5004.4302,13.9426
688008.SH,澜起科技,213.0,-8.22,-3.72,65.08,12.08,3.4,389727.0,84.5706,2599.746,2438.3484,12.2054
688041.SH,海光信息,245.49,-0.48,-0.2,158.64,22.49,0.98,228614.0,57.2799,5706.0176,5706.0176,23.2434
603019.SH,中科曙光,85.82,-0.72,-0.83,64.63,5.45,1.81,264504.0,22.8602,1255.646,1255.5932,14.6312
688012.SH,中微公司,367.0,-9.01,-2.4,62.21,11.7,1.32,124012.0,46.1696,3515.2814,3457.8631,9.5784
688981.SH,中芯国际,125.88,-0.45,-0.36,120.61,6.29,1.48,296693.0,37.6522,10776.6617,2517.0493,85.6106
002371.SZ,北方华创,697.51,-20.49,-2.85,75.1,12.48,0.78,56463.0,40.0083,5061.7547,5057.5451,7.2569
603986.SH,兆易创新,396.82,-14.38,-3.5,20.31,7.43,5.27,352520.0,142.0887,2784.6646,2652.7097,7.0175
601138.SH,工业富联,64.04,0.18,0.28,26.76,7.23,0.8,1579645.0,103.1464,12708.1567,12708.1567,198.4409
002463.SZ,沪电股份,121.7,-0.32,-0.26,40.06,13.02,3.07,590290.0,73.3667,2341.9504,2340.1106,19.2436
600183.SH,生益科技,145.65,4.68,3.32,53.82,19.12,4.09,987078.0,144.7484,3537.8438,3512.7122,24.29
000977.SZ,浪潮信息,77.44,-0.83,-1.06,19.26,4.64,3.49,511857.0,40.0731,1137.1883,1135.9795,14.6848
000938.SZ,紫光股份,35.89,-0.54,-1.48,23.68,5.74,5.74,1641134.0,60.151,1026.4827,1026.4801,28.6008
600206.SH,有研新材,51.65,-2.0,-3.73,119.25,10.11,11.6,982284.0,52.2945,437.2448,437.2448,8.4655
605338.SH,巴比食品,19.15,0.4,2.13,17.04,2.1,0.84,20152.0,0.3833,45.877,45.877,2.3957
601872.SH,招商轮船,18.98,0.36,1.93,11.01,3.27,1.07,864362.0,16.5149,1532.5474,1532.5474,80.7454
002884.SZ,凌霄泵业,16.01,0.17,1.07,13.47,2.52,0.61,16613.0,0.2652,57.265,43.9566,3.5768
605099.SH,共创草坪,30.87,-0.28,-0.9,16.41,3.93,0.38,15306.0,0.4733,124.302,124.1364,4.0266
002690.SZ,美亚光电,16.26,0.29,1.82,22.77,5.57,1.95,83164.0,1.3473,143.4504,69.4355,8.8223
603025.SH,大豪科技,13.73,-0.11,-0.79,14.41,5.55,0.62,68775.0,0.9507,153.3167,152.2897,11.1665
000915.SZ,华特达因,25.04,0.17,0.68,13.13,2.24,1.06,24706.0,0.6166,58.6766,58.6244,2.3433
