# GoalTracker 股价数据（行情快照，由 fetch_prices.py 生成）
股票代码,公司,现价,涨跌额,涨跌幅%,5日涨幅%,本月涨幅%,市盈率(动),市净率,换手率%,成交量(手),成交额(亿),总市值(亿),流通市值(亿),总股本(亿股)
301189.SZ,奥尼电子,69.39,-4.86,-6.55,12.21,28.86,337.65,5.39,0.87,13676.0,0.9753,113.5497,109.5962,1.6364
301190.SZ,善水科技,20.23,-0.23,-1.12,9.59,-1.12,25.49,2.17,0.1,1820.0,0.0369,43.421,36.7891,2.1464
301191.SZ,菲菱科思,86.22,-0.3,-0.35,-1.01,-5.21,120.02,4.89,0.1,760.0,0.0655,83.5447,62.9904,0.969
301192.SZ,泰祥股份,19.48,-0.05,-0.26,5.53,-4.21,74.34,3.0,0.26,1290.0,0.0251,19.7219,9.8151,1.0124
301193.SZ,家联科技,22.96,0.04,0.17,18.35,15.81,-30.35,2.58,0.16,3026.0,0.0694,55.3064,42.2881,2.4088
301195.SZ,北路智控,27.26,0.0,0.0,3.93,2.41,39.4,1.49,0.06,554.0,0.0151,36.0022,23.9042,1.3207
301196.SZ,唯科科技,91.44,0.9,0.99,6.38,-4.3,53.91,4.51,0.15,1664.0,0.1512,150.1568,98.5684,1.6421
301197.SZ,工大科雅,28.8,0.39,1.37,15.71,11.43,-65.86,2.68,0.41,4428.0,0.1273,34.7155,31.3198,1.2054
301198.SZ,喜悦智行,14.95,0.15,1.01,23.25,9.3,-234.48,2.81,0.9,14538.0,0.2178,25.2655,24.2604,1.69
301199.SZ,迈赫股份,18.16,-0.03,-0.16,1.17,1.97,57.75,1.75,0.07,1344.0,0.0244,33.9004,32.6291,1.8668
301200.SZ,大族数控,260.65,1.72,0.66,-1.7,-6.64,66.6,10.58,0.02,1030.0,0.2668,1274.5987,1108.383,4.8901
301201.SZ,诚达药业,38.03,0.94,2.53,12.98,7.19,1279.24,2.81,0.51,5513.0,0.2082,58.8377,41.2794,1.5471
301202.SZ,朗威股份,40.11,0.35,0.88,12.2,7.77,76.78,4.55,0.08,653.0,0.0261,54.71,31.9346,1.364
301203.SZ,国泰环保,34.43,-0.05,-0.15,3.39,-2.33,32.39,2.03,0.09,390.0,0.0134,27.544,15.0692,0.8
301205.SZ,联特科技,324.41,-3.09,-0.94,10.27,4.89,2251.74,25.8,0.4,3325.0,1.0819,422.0071,271.4954,1.3008
301206.SZ,三元生物,23.65,-0.23,-0.96,2.03,-0.84,47.47,1.14,0.13,1645.0,0.039,47.85,30.812,2.0233
