# GoalTracker 股价数据（行情快照，由 fetch_prices.py 生成）
股票代码,公司,现价,涨跌额,涨跌幅%,市盈率(动),市净率,换手率%,成交量(手),成交额(亿),总市值(亿),流通市值(亿),总股本(亿股)
688256.SH,寒武纪,1075.79,35.79,3.44,146.37,48.6,1.71,107299.0,116.0519,6765.1485,6765.1485,6.2885
300308.SZ,中际旭创,864.01,-8.99,-1.03,37.28,25.53,1.62,179554.0,156.1359,10177.2571,9589.9667,11.7791
300502.SZ,新易盛,397.01,-4.89,-1.22,36.77,22.79,1.94,243219.0,97.2728,5537.2465,4981.3788,13.9474
688008.SH,澜起科技,187.83,3.18,1.72,57.39,10.65,2.12,243118.0,45.7952,2292.5366,2150.2112,12.2054
688041.SH,海光信息,224.6,0.91,0.41,145.14,20.57,0.64,148209.0,33.5527,5220.4634,5220.4634,23.2434
603019.SH,中科曙光,82.06,0.09,0.11,61.8,5.21,0.96,140026.0,11.4842,1200.6328,1200.5824,14.6312
688012.SH,中微公司,330.6,5.96,1.84,56.04,10.54,1.53,144003.0,47.6188,3166.6268,3114.9034,9.5784
688981.SH,中芯国际,114.86,0.79,0.69,110.07,5.74,1.28,255207.0,29.4332,9834.6171,2297.8822,85.6226
002371.SZ,北方华创,638.16,12.16,1.94,68.71,11.42,0.92,66915.0,42.7707,4631.0582,4627.2068,7.2569
603986.SH,兆易创新,363.11,6.23,1.75,18.64,6.82,4.37,293180.0,106.9363,2556.1906,2435.4453,7.0397
601138.SH,工业富联,60.8,-0.77,-1.25,25.41,6.86,0.31,614209.0,37.6933,12065.2081,12065.2081,198.4409
002463.SZ,沪电股份,125.82,0.12,0.1,41.41,13.46,2.13,408969.0,52.3057,2421.2342,2419.3321,19.2436
600183.SH,生益科技,150.25,4.25,2.91,55.52,19.73,3.37,812456.0,124.1085,3649.578,3623.6527,24.29
000977.SZ,浪潮信息,68.76,-0.06,-0.09,17.1,4.12,2.78,407172.0,28.0585,1009.7245,1008.6512,14.6848
000938.SZ,紫光股份,32.87,0.14,0.43,21.69,5.26,3.2,914260.0,30.1996,940.1083,940.1059,28.6008
600206.SH,有研新材,46.94,-0.31,-0.66,108.37,9.19,7.33,620504.0,29.2868,397.3721,397.3721,8.4655
601872.SH,招商轮船,20.5,0.5,2.5,11.89,3.53,2.15,1733525.0,35.7257,1655.2804,1655.2804,80.7454
605499.SH,东鹏饮料,111.53,-1.1,-0.98,14.28,4.2,0.36,24537.0,2.754,818.8525,753.9616,7.342
603444.SH,吉比特,371.61,1.61,0.44,12.26,5.01,1.04,7501.0,2.7944,267.7119,267.7119,0.7204
002648.SZ,卫星化学,26.85,-0.06,-0.22,7.26,2.38,0.62,208866.0,5.6097,904.4814,903.9005,33.6865
002957.SZ,科瑞技术,38.77,0.11,0.28,50.5,4.92,2.76,115649.0,4.5535,162.8272,162.393,4.1998
600150.SH,中国船舶,38.16,-0.82,-2.1,14.43,1.88,1.62,1218125.0,46.8055,2871.7771,2871.7771,75.2562
002008.SZ,大族激光,93.6,1.32,1.43,37.41,4.49,4.09,391671.0,36.9779,963.7088,895.4992,10.296
603268.SH,松发股份,195.65,0.14,0.07,27.62,9.97,1.59,37184.0,7.2892,1993.1197,456.3532,10.1872
600362.SH,江西铜业,42.97,-1.46,-3.29,8.62,1.7,2.61,541869.0,23.4898,1487.9348,891.7338,34.6273
002916.SZ,深南电路,389.72,0.59,0.15,58.95,14.72,1.14,75943.0,30.0034,2654.6425,2590.8954,6.8117
001232.SZ,嘉立创,195.79,-1.89,-0.96,52.78,8.58,13.88,61354.0,12.1169,1087.7309,86.552,5.5556
