# GoalTracker 财报跟踪
股票代码,公司名称,行业,板块,林奇类型,披露日期,报告期,季度,营业收入,营收同比,毛利润,净利润,扣非净利润,扣非净利同比,经营现金流,销售收现,资本开支,ROE,毛利率,预期营收,预期净利,预期营收同比,预期净利同比
600160.SH,巨化股份,,,,2026-08-26,2026-06-30,2026Q2,133.4013350018,0.0650496646,45.3966,26.5024939452,26.273548386599998,29.67859909465,23.305483477600003,112.5063,42.6548,12.15,34.03007274,303.37843478260896,57.433747826087,12.400403777765,51.811454412853
002415.SZ,海康威视,,,,2026-07-25,2026-06-30,2026Q2,468.2253784707,11.9673178084,233.9594,78.9570545011,77.11948685899999,40.49823692013,32.3141132458,539.3681,14.9474,9.17,49.9672613158,1017.36467,173.38226,9.976100741912,22.13999132221
