# GoalTracker 公司列表（导出于 2026-09-23，可用 fetch_financial.py --from-csv 批量抓取）
股票代码,公司名称,市场,板块,行业,行业二级,行业三级,林奇类型,行业细分,货币,现价,总股本
002975.SZ,博杰股份,A股,主板,机械设备,自动化设备,工控设备,,,,104.86,2.0813
600961.SH,株冶集团,A股,主板,有色金属,工业金属,铅锌,,,,25.5,10.7287
000426.SZ,兴业银锡,A股,主板,有色金属,贵金属,白银,,,,35.47,17.7564
600026.SH,中远海能,A股,主板,交通运输,航运港口,航运,,,,22.07,54.7121
603992.SH,松霖科技,A股,主板,轻工制造,家居用品,卫浴制品,,,,20.03,4.4304
603259.SH,药明康德,A股,主板,医药生物,医疗服务,医疗研发外包,,,,160,30.337
600499.SH,科达制造,A股,主板,机械设备,专用设备,其他专用设备,,,,13.44,19.1786
600160.SH,巨化股份,A股,主板,基础化工,化学制品,氟化工,,,,34.74,26.9975
002415.SZ,海康威视,A股,主板,计算机,计算机设备,安防设备,稳定增长型,电子设备制造业,CNY,32.94,91.6487
002841.SZ,视源股份,A股,主板,电子,消费电子,品牌消费电子,,,,47.25,6.9919
002602.SZ,世纪华通,A股,主板,传媒,游戏Ⅱ,游戏Ⅲ,,,,14.69,73.7068
603186.SH,华正新材,A股,主板,电子,元件,印制电路板,,,,226.78,1.5679
688825.SH,长鑫科技,A股,科创板,电子,半导体,数字芯片设计,,,,55.54,678.841
300750.SZ,宁德时代,A股,创业板,电力设备,电池,锂电池,,,,301.95,46.2723
603636.SH,南威软件,A股,,计算机,,,,,,,
