# GoalTracker 公司列表（导出于 2026-08-30，可用 fetch_financial.py --from-csv 批量抓取）
股票代码,公司名称,市场,板块,行业,林奇类型,行业细分,货币,现价,总股本
688256.SH,寒武纪,A股,科创板,电子,快速增长型,半导体AI芯片,CNY,1050.49,6.28
300308.SZ,中际旭创,A股,创业板,通信,快速增长型,光模块,CNY,895.6,
300502.SZ,新易盛,A股,创业板,通信,快速增长型,光模块,CNY,411.5,
688008.SH,澜起科技,A股,科创板,电子,快速增长型,内存接口芯片,CNY,200,
688041.SH,海光信息,A股,科创板,电子,快速增长型,CPU/DCU,CNY,259.74,
603019.SH,中科曙光,A股,主板,计算机,快速增长型,算力服务器,CNY,85,14.63
688012.SH,中微公司,A股,科创板,电子,快速增长型,半导体设备,CNY,372,
688981.SH,中芯国际,A股,科创板,电子,快速增长型,晶圆代工,CNY,128.01,
002371.SZ,北方华创,A股,主板,电子,快速增长型,半导体设备,CNY,712.95,7.26
603986.SH,兆易创新,A股,主板,电子,快速增长型,半导体存储+MCU,CNY,403.71,7.02
601138.SH,工业富联,A股,主板,电子,稳定增长型,智能制造,CNY,61.83,198.44
002463.SZ,沪电股份,A股,主板,电子,快速增长型,PCB,CNY,113.41,19.24
600183.SH,生益科技,A股,主板,电子,快速增长型,覆铜板,CNY,125.47,24.29
000977.SZ,浪潮信息,A股,主板,计算机,快速增长型,计算机,CNY,72.87,14.68
000938.SZ,紫光股份,A股,主板,计算机,稳定增长型,计算机,CNY,35.33,28.6
600206.SH,有研新材,A股,主板,有色金属,稳定增长型,半导体,CNY,58.87,8.47
605338.SH,巴比食品,A股,主板,食品饮料,稳定增长型,食品,CNY,19.64,2.4
601872.SH,招商轮船,A股,主板,交通运输,周期型,航运,CNY,18.6,80.75
002884.SZ,凌霄泵业,A股,主板,机械设备,稳定增长型,机械-民用水泵,CNY,15.97,3.58
605099.SH,共创草坪,A股,主板,轻工制造,稳定增长型,轻工-人造草坪,CNY,32.92,4.03
002690.SZ,美亚光电,A股,主板,机械设备,稳定增长型,机械-光电分选设备,CNY,15.5,8.82
603025.SH,大豪科技,A股,主板,机械设备,稳定增长型,纺机-缝制设备电控,CNY,13.8,11.17
000915.SZ,华特达因,A股,主板,医药生物,稳定增长型,医药-儿童健康,CNY,25.81,2.34
300770.SZ,新媒股份,A股,创业板,传媒,稳定增长型,传媒-IPTV运营,CNY,33.75,2.28
603871.SH,嘉友国际,A股,主板,交通运输,快速增长型,交运-跨境物流,CNY,12.29,13.68
300926.SZ,博俊科技,A股,创业板,汽车,快速增长型,汽车-模具与车身件,CNY,17.45,4.34
001380.SZ,华纬科技,A股,主板,汽车,稳定增长型,汽车-精密弹簧,CNY,16.29,2.71
300181.SZ,佐力药业,A股,创业板,医药生物,快速增长型,医药-中药,CNY,14.42,7.01
603173.SH,福斯达,A股,主板,机械设备,快速增长型,机械-深冷设备,CNY,31.23,1.6
605305.SH,中际联合,A股,主板,电力设备,快速增长型,电力设备-风电高空设备,CNY,37.16,2.13
605499.SH,东鹏饮料,A股,主板,食品饮料,快速增长型,食品-能量饮料,CNY,122.75,7.34
300628.SZ,亿联网络,A股,创业板,通信,稳定增长型,通信-企业通信终端,CNY,39.82,12.67
603444.SH,吉比特,A股,主板,传媒,稳定增长型,传媒-游戏,CNY,384.79,0.72
000848.SZ,承德露露,A股,主板,食品饮料,缓慢增长型,食品-植物蛋白饮料,CNY,8.36,10.2
002867.SZ,周大生,A股,主板,商贸零售,稳定增长型,黄金珠宝-加盟零售,CNY,12.38,10.85
000528.SZ,柳工,A股,主板,机械设备,周期型,工程机械,CNY,8.02,20.37
002648.SZ,卫星化学,A股,主板,基础化工,周期型,化工-轻烃裂解,CNY,26.82,33.69
000791.SZ,甘肃能源,A股,主板,公用事业,缓慢增长型,公用事业-水电,CNY,7.19,32.44
002957.SZ,科瑞技术,A股,主板,机械设备,快速增长型,光模块设备,CNY,39.4,4.2
600150.SH,中国船舶,A股,主板,国防军工,周期型,航海装备,CNY,33.25,75.26
002008.SZ,大族激光,A股,主板,电子,快速增长型,激光设备 · AI PCB,CNY,85.05,10.296
603268.SH,松发股份,A股,主板,国防军工,快速增长型,,CNY,191.2,10.19
600362.SH,江西铜业,A股,主板,有色金属,,,,,
002916.SZ,深南电路,A股,主板,电子,,,,,
001232.SZ,嘉立创,A股,主板,电子,,,,,
600487.SH,亨通光电,A股,主板,通信,,,,,
603061.SH,金海通,A股,主板,电子,,,,,
